      Energy               down 
      -18.01175000        0.00000000
      -18.00900000        0.00000000
      -18.00625000        0.00000000
      -18.00350000        0.00000000
      -18.00075000        0.00000000
      -17.99800000        0.00000000
      -17.99525000        0.00000000
      -17.99250000        0.00000000
      -17.98975000        0.00000000
      -17.98700000        0.00000000
      -17.98425000        0.00000000
      -17.98150000        0.00000000
      -17.97875000        0.00000000
      -17.97600000        0.00000000
      -17.97325000        0.00000000
      -17.97050000        0.00000000
      -17.96775000        0.00000000
      -17.96500000        0.00000000
      -17.96225000        0.00000000
      -17.95950000        0.00000000
      -17.95675000        0.00000000
      -17.95400000        0.00000000
      -17.95125000        0.00000000
      -17.94850000        0.00000000
      -17.94575000        0.00000000
      -17.94300000        0.00000000
      -17.94025000        0.00000000
      -17.93750000        0.00000000
      -17.93475000        0.00000000
      -17.93200000        0.00000000
      -17.92925000        0.00000000
      -17.92650000        0.00000000
      -17.92375000        0.00000000
      -17.92100000        0.00000000
      -17.91825000        0.00000000
      -17.91550000        0.00000000
      -17.91275000        0.00000000
      -17.91000000        0.00000000
      -17.90725000        0.00000000
      -17.90450000        0.00000000
      -17.90175000        0.00000000
      -17.89900000        0.00000000
      -17.89625000        0.00000000
      -17.89350000        0.00000000
      -17.89075000        0.00000000
      -17.88800000        0.00000000
      -17.88525000        0.00000000
      -17.88250000        0.00000000
      -17.87975000        0.00000000
      -17.87700000        0.00000000
      -17.87425000        0.00000000
      -17.87150000        0.00000000
      -17.86875000        0.00000000
      -17.86600000        0.00000000
      -17.86325000        0.00000000
      -17.86050000        0.00000000
      -17.85775000        0.00000000
      -17.85500000        0.00000000
      -17.85225000        0.00000000
      -17.84950000        0.00000000
      -17.84675000        0.00000000
      -17.84400000        0.00000000
      -17.84125000        0.00000000
      -17.83850000        0.00000000
      -17.83575000        0.00000000
      -17.83300000        0.00000000
      -17.83025000        0.00000000
      -17.82750000        0.00000000
      -17.82475000        0.00000000
      -17.82200000        0.00000000
      -17.81925000        0.00000000
      -17.81650000        0.00000000
      -17.81375000        0.00000000
      -17.81100000        0.00000000
      -17.80825000        0.00000000
      -17.80550000        0.00000000
      -17.80275000        0.00000000
      -17.80000000        0.00000000
      -17.79725000        0.00000000
      -17.79450000        0.00000000
      -17.79175000        0.00000000
      -17.78900000        0.00000000
      -17.78625000        0.00000000
      -17.78350000        0.00000000
      -17.78075000        0.00000000
      -17.77800000        0.00000000
      -17.77525000        0.00000000
      -17.77250000        0.00000000
      -17.76975000        0.00000000
      -17.76700000        0.00000000
      -17.76425000        0.00000000
      -17.76150000        0.00000000
      -17.75875000        0.00000000
      -17.75600000        0.00000000
      -17.75325000        0.00000000
      -17.75050000        0.00000000
      -17.74775000        0.00000000
      -17.74500000        0.00000000
      -17.74225000        0.00000000
      -17.73950000        0.00000000
      -17.73675000        0.00000000
      -17.73400000        0.00000000
      -17.73125000        0.00000000
      -17.72850000        0.00000000
      -17.72575000        0.00000000
      -17.72300000        0.00000000
      -17.72025000        0.00000000
      -17.71750000        0.00000000
      -17.71475000        0.00000000
      -17.71200000        0.00000000
      -17.70925000        0.00000000
      -17.70650000        0.00000000
      -17.70375000        0.00000000
      -17.70100000        0.00000000
      -17.69825000        0.00000000
      -17.69550000        0.00000000
      -17.69275000        0.00000000
      -17.69000000        0.00000000
      -17.68725000        0.00000000
      -17.68450000        0.00000000
      -17.68175000        0.00000000
      -17.67900000        0.00000000
      -17.67625000        0.00000000
      -17.67350000        0.00000000
      -17.67075000        0.00000000
      -17.66800000        0.00000000
      -17.66525000        0.00000000
      -17.66250000        0.00000000
      -17.65975000        0.00000000
      -17.65700000        0.00000000
      -17.65425000        0.00000000
      -17.65150000        0.00000000
      -17.64875000        0.00000000
      -17.64600000        0.00000000
      -17.64325000        0.00000000
      -17.64050000        0.00000000
      -17.63775000        0.00000000
      -17.63500000        0.00000000
      -17.63225000        0.00000000
      -17.62950000        0.00000000
      -17.62675000        0.00000000
      -17.62400000        0.00000000
      -17.62125000        0.00000000
      -17.61850000        0.00000000
      -17.61575000        0.00000000
      -17.61300000        0.00000000
      -17.61025000        0.00000000
      -17.60750000        0.00000000
      -17.60475000        0.00000000
      -17.60200000        0.00000000
      -17.59925000        0.00000000
      -17.59650000        0.00000000
      -17.59375000        0.00000000
      -17.59100000        0.00000000
      -17.58825000        0.00000000
      -17.58550000        0.00000000
      -17.58275000        0.00000000
      -17.58000000        0.00000000
      -17.57725000        0.00000000
      -17.57450000        0.00000000
      -17.57175000        0.00000000
      -17.56900000        0.00000000
      -17.56625000        0.00000000
      -17.56350000        0.00000000
      -17.56075000        0.00000000
      -17.55800000        0.00000000
      -17.55525000        0.00000000
      -17.55250000        0.00000000
      -17.54975000        0.00000000
      -17.54700000        0.00000000
      -17.54425000        0.00000000
      -17.54150000        0.00000000
      -17.53875000        0.00000000
      -17.53600000        0.00000000
      -17.53325000        0.00000000
      -17.53050000        0.00000000
      -17.52775000        0.00000000
      -17.52500000        0.00000000
      -17.52225000        0.00000000
      -17.51950000        0.00000000
      -17.51675000        0.00000000
      -17.51400000        0.00000000
      -17.51125000        0.00000000
      -17.50850000        0.00000000
      -17.50575000        0.00000000
      -17.50300000        0.00000000
      -17.50025000        0.00000000
      -17.49750000        0.00000000
      -17.49475000        0.00000000
      -17.49200000        0.00000000
      -17.48925000        0.00000000
      -17.48650000        0.00000000
      -17.48375000        0.00000000
      -17.48100000        0.00000000
      -17.47825000        0.00000000
      -17.47550000        0.00000000
      -17.47275000        0.00000000
      -17.47000000        0.00000000
      -17.46725000        0.00000000
      -17.46450000        0.00000000
      -17.46175000        0.00000000
      -17.45900000        0.00000000
      -17.45625000        0.00000000
      -17.45350000        0.00000000
      -17.45075000        0.00000000
      -17.44800000        0.00000000
      -17.44525000        0.00000000
      -17.44250000        0.00000000
      -17.43975000        0.00000000
      -17.43700000        0.00000000
      -17.43425000        0.00000000
      -17.43150000        0.00000000
      -17.42875000        0.00000000
      -17.42600000        0.00000000
      -17.42325000        0.00000000
      -17.42050000        0.00000000
      -17.41775000        0.00000000
      -17.41500000        0.00000000
      -17.41225000        0.00000000
      -17.40950000        0.00000000
      -17.40675000        0.00000000
      -17.40400000        0.00000000
      -17.40125000        0.00000000
      -17.39850000        0.00000000
      -17.39575000        0.00000000
      -17.39300000        0.00000000
      -17.39025000        0.00000000
      -17.38750000        0.00000000
      -17.38475000        0.00000000
      -17.38200000        0.00000000
      -17.37925000        0.00000000
      -17.37650000        0.00000000
      -17.37375000        0.00000000
      -17.37100000        0.00000000
      -17.36825000        0.00000000
      -17.36550000        0.00000000
      -17.36275000        0.00000000
      -17.36000000        0.00000000
      -17.35725000        0.00000000
      -17.35450000        0.00000000
      -17.35175000        0.00000000
      -17.34900000        0.00000000
      -17.34625000        0.00000000
      -17.34350000        0.00000000
      -17.34075000        0.00000000
      -17.33800000        0.00000000
      -17.33525000        0.00000000
      -17.33250000        0.00000000
      -17.32975000        0.00000000
      -17.32700000        0.00000000
      -17.32425000        0.00000000
      -17.32150000        0.00000000
      -17.31875000        0.00000000
      -17.31600000        0.00000000
      -17.31325000        0.00000000
      -17.31050000        0.00000000
      -17.30775000        0.00000000
      -17.30500000        0.00000000
      -17.30225000        0.00000000
      -17.29950000        0.00000000
      -17.29675000        0.00000000
      -17.29400000        0.00000000
      -17.29125000        0.00000000
      -17.28850000        0.00000000
      -17.28575000        0.00000000
      -17.28300000        0.00000000
      -17.28025000        0.00000000
      -17.27750000        0.00000000
      -17.27475000        0.00000000
      -17.27200000        0.00000000
      -17.26925000        0.00000000
      -17.26650000        0.00000000
      -17.26375000        0.00000000
      -17.26100000        0.00000000
