      Energy                up 
      -18.63875000       15.21502003 
      -18.63600000       18.47599445 
      -18.63325000       10.44901104 
      -18.63050000       13.99976498 
      -18.62775000       16.38703488 
      -18.62500000        9.40556494 
      -18.62225000       20.47866665 
      -18.61950000       34.82139370 
      -18.61675000       30.20942345 
      -18.61400000       30.44383580 
      -18.61125000       16.97839763 
      -18.60850000       19.07741294 
      -18.60575000       21.58975149 
      -18.60300000       17.94537647 
      -18.60025000       14.10982429 
      -18.59750000       13.09364642 
      -18.59475000       11.17820317 
      -18.59200000       11.09485517 
      -18.58925000       16.28323540 
      -18.58650000       11.26365961 
      -18.58375000       11.88507206 
      -18.58100000       12.51816875 
      -18.57825000       11.96433454 
      -18.57550000        3.97150471 
      -18.57275000       18.24908598 
      -18.57000000       30.41654368 
      -18.56725000       48.49998899 
      -18.56450000       30.38324903 
      -18.56175000        7.17953029 
      -18.55900000       15.36252565 
      -18.55625000       14.39760323 
      -18.55350000       12.74939881 
      -18.55075000        9.39151057 
      -18.54800000       13.27661447 
      -18.54525000       18.80841138 
      -18.54250000       17.36441722 
      -18.53975000       13.75370565 
      -18.53700000       12.83353981 
      -18.53425000       12.66542704 
      -18.53150000       11.22198225 
      -18.52875000       10.79496525 
      -18.52600000       12.14937035 
      -18.52325000       17.10523059 
      -18.52050000        7.90938595 
      -18.51775000       16.07109508 
      -18.51500000       14.15988463 
      -18.51225000       15.27450296 
      -18.50950000       14.78034277 
      -18.50675000       14.84869453 
      -18.50400000       14.31449322 
      -18.50125000       16.87536063 
      -18.49850000       15.71443222 
      -18.49575000       15.34408459 
      -18.49300000       13.54450312 
      -18.49025000       17.94157608 
      -18.48750000       15.24643570 
      -18.48475000       17.29088458 
      -18.48200000       12.99205779 
      -18.47925000        5.83707703 
      -18.47650000        3.18006594 
      -18.47375000        3.98763994 
      -18.47100000       11.23196721 
      -18.46825000       31.50085415 
      -18.46550000       17.89957302 
      -18.46275000       29.30721126 
      -18.46000000       12.44378720 
      -18.45725000       22.95512244 
      -18.45450000       24.65358298 
      -18.45175000       21.59353963 
      -18.44900000       21.58088937 
      -18.44625000       10.80152070 
      -18.44350000        6.68077019 
      -18.44075000        8.51180073 
      -18.43800000       10.20960443 
      -18.43525000       10.39229852 
      -18.43250000        8.24413979 
      -18.42975000        5.46324464 
      -18.42700000        4.94104902 
      -18.42425000        7.80042968 
      -18.42150000        9.22758593 
      -18.41875000        9.88729126 
      -18.41600000       10.72328980 
      -18.41325000       11.15097401 
      -18.41050000        8.42731818 
      -18.40775000        6.72549675 
      -18.40500000        8.10793182 
      -18.40225000       19.93747351 
      -18.39950000        9.33815722 
      -18.39675000        9.42315886 
      -18.39400000       13.01013595 
      -18.39125000       14.51299288 
      -18.38850000       10.70051496 
      -18.38575000       10.65045640 
      -18.38300000        5.47926246 
      -18.38025000        4.89807323 
