# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the chemical potential, mu =       -4.957947 eV
#  aims_uuid : DD481180-E7BD-4871-A6C2-BEA04C886703                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -13.33155263        157.09984003        157.09593665
        -13.32880263        104.02164584        104.02352635
        -13.32605263         86.91908903         86.91716711
        -13.32330263        107.61025428        107.60234786
        -13.32055263         92.90677112         92.90666788
        -13.31780263        179.15222839        179.16669202
        -13.31505263         72.52215151         72.52364988
        -13.31230263         84.90605271         84.89830683
        -13.30955263        106.29343390        106.29465644
        -13.30680263        108.77209138        108.77430813
        -13.30405263         95.80482309         95.80624400
        -13.30130263        115.31223089        115.31727401
        -13.29855263         85.52497696         85.52760985
        -13.29580263         28.43915629         28.43594716
        -13.29305263        171.01789293        171.01345687
        -13.29030263        205.28878121        205.28462138
        -13.28755263        137.12634325        137.11528347
        -13.28480263        129.63358305        129.64296077
        -13.28205263        104.76650381        104.76658545
        -13.27930263         74.77152418         74.77249191
        -13.27655263         72.92110861         72.92630553
        -13.27380263          0.00000000          0.00000000
        -13.27105263         13.60819662         13.52673323
        -13.26830263        775.18795380        774.55093235
        -13.26555263         64.31840913         64.32925315
        -13.26280263         61.59736749         61.57273863
        -13.26005263        503.72213077        503.79774158
        -13.25730263          0.00000000          0.00000000
        -13.25455263        185.48656834        185.45595488
        -13.25180263         72.95175076         72.99813744
        -13.24905263          0.00000000          0.00000000
        -13.24630263        348.24652365        348.27251926
        -13.24355263         72.91436027         72.92879620
        -13.24080263         92.61347217         92.59167609
        -13.23805263        163.41657418        163.30830130
        -13.23530263         57.00687202         57.11377140
        -13.23255263        172.50341870        172.56035814
        -13.22980263        235.06521229        235.04386313
        -13.22705263         73.20219871         73.18968894
        -13.22430263        236.56482747        236.50148617
        -13.22155263         42.99548457         43.13007115
        -13.21880263         10.29423540         10.28960971
        -13.21605263        337.44407449        336.74252139
        -13.21330263        139.99546043        140.00262978
        -13.21055263         83.78698692         83.79532048
        -13.20780263        131.83398511        131.81902332
        -13.20505263        276.58646789        276.59096135
        -13.20230263        163.82867383        163.79764862
        -13.19955263         92.16553205         92.14858833
        -13.19680263         91.99891449         91.98253304
        -13.19405263          5.78111022          5.84184870
        -13.19130263          0.00000000          0.00000000
